lang	lang_id	grade	grade_id	book	book_id	chapter	chapter_id	link
English	english	Grade 1	grade-1	ABOE Activity Book	aboe-activity-book	My Activity Book	my-activity-book	http://www.edupub.gov.lk/Administrator/English/1/activity%20G1%20E/ABOE%20Gr%201%20Final%20Book%2020.08.24.pdf
English	english	Grade 1	grade-1	ABOE Song Book	aboe-song-book	ABOE Song Book	aboe-song-book	http://www.edupub.gov.lk/Administrator/English/1/song%20book%20g1/Song%20Book%20G-1%20(E)%20-%20Inner_V2.pdf
English	english	Grade 2	grade-2	ABOE Activity Book	aboe-activity-book	My Activity Book	my-activity-book	http://www.edupub.gov.lk/Administrator/English/2/activity%20G2%20E/My%20Active%20Book%20G-2%20(E)%20Inner_V1.pdf
English	english	Grade 2	grade-2	ABOE Song Book	aboe-song-book	ABOE Song Book	aboe-song-book	http://www.edupub.gov.lk/Administrator/English/2/song%20book%20g2/Song%20Book%20G-2%20(E)%20Inner_V2.pdf
English	english	Grade 3	grade-3	English Workbook - New Syllabus	english-workbook-new-syllabus	English Workbook	english-workbook	http://www.edupub.gov.lk/Administrator/English/3/english%20wb%20G-3/english%20WB.%203.pdf
English	english	Grade 3	grade-3	English Pupil s book - New Syllabus	english-pupil-s-book-new-syllabus	English Pupil s book	english-pupil-s-book	http://www.edupub.gov.lk/Administrator/English/3/english%20PB%20G-3/english%20PB%20G-3.pdf
English	english	Grade 3	grade-3	English writing Practice - New Syllabus	english-writing-practice-new-syllabus	English writing Practice	english-writing-practice	http://www.edupub.gov.lk/Administrator/English/3/en%20writing%20prac%20G-3/26454%20-%20SB%20Writing%20Practice%20Grade%203%20English.pdf
English	english	Grade 4	grade-4	English pupils Book - New Syllabus	english-pupils-book-new-syllabus	English pupils Book	english-pupils-book	http://www.edupub.gov.lk/Administrator/English/4/en%20pb%20G-4/english%20PB%20G-4.pdf
English	english	Grade 4	grade-4	English work book - New Syllabus	english-work-book-new-syllabus	English work book	english-work-book	http://www.edupub.gov.lk/Administrator/English/4/english%20WB%20G-4/english%20WB%20G-4.pdf
English	english	Grade 5	grade-5	English Workbook P I	english-workbook-p-i	English Workbook P I	english-workbook-p-i	http://www.edupub.gov.lk/Administrator/English/5/english%20wb%20G-5%20P-I/English%20WB%20Gra.-5%20Part-I.pdf
English	english	Grade 5	grade-5	English Workbook P II	english-workbook-p-ii	English Workbook P II	english-workbook-p-ii	http://www.edupub.gov.lk/Administrator/English/5/english%20wb%20G-5%20P-II/English%20WB%20Gra.-5%20Part%20-II.pdf
English	english	Grade 5	grade-5	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	English Pupils Book	english-pupils-book	http://www.edupub.gov.lk/Administrator/English/5/english%20pb%20G-5/English%20PB%20G-5.pdf
English	english	Grade 5	grade-5	English Workbook - New Syllabus	english-workbook-new-syllabus	English Workbook	english-workbook	http://www.edupub.gov.lk/Administrator/English/5/english%20WB%20G-5/english%20G-5%20WB.pdf
English	english	Grade 6	grade-6	Science - New Syllabus	science-new-syllabus	Science	science	http://www.edupub.gov.lk/Administrator/English/6/science%20G-6%20%20E/science%20G-6%20E.pdf
English	english	Grade 6	grade-6	Civic Education - New Syllabus	civic-education-new-syllabus	Civic Education	civic-education	http://www.edupub.gov.lk/Administrator/English/6/civicG-6%20E/CIVIC%20education%20G-6%20final%202019.pdf
English	english	Grade 6	grade-6	Health and Physical Education - New syllabus	health-and-physical-education-new-syllabus	Health and Physical Education	health-and-physical-education	http://www.edupub.gov.lk/Administrator/English/6/health%20G-6%20E/health%20G-6%20E.pdf
English	english	Grade 6	grade-6	English Pupils Book - New Syllabus	english-pupils-book-new-syllabus	English Pupils Book	english-pupils-book	http://www.edupub.gov.lk/Administrator/English/6/english%20PB%20G-6/english%20PB%20G-6.pdf
English	english	Grade 6	grade-6	Information and Communication Technology - Work book - 2018 New Syllabus	information-and-communication-technology-work-book-2018-new-syllabus	Information and Communication Technology - Work book	information-and-communication-technology-work-book	http://www.edupub.gov.lk/Administrator/English/6/ict%20G-6%20E%20WB/ICT%20G-6%20E%20WB.pdf
English	english	Grade 6	grade-6	Geography - New Syllabus	geography-new-syllabus	Geography	geography	http://www.edupub.gov.lk/Administrator/English/6/geo%20G-6%20E/geo%20G-6%20E.pdf
English	english	Grade 6	grade-6	Mathematics Part I - New Syllabus	mathematics-part-i-new-syllabus	Mathematics Part I	mathematics-part-i	http://www.edupub.gov.lk/Administrator/English/6/maths%20G-6%20P-I%20E/maths%20G-6%20E%20P-I.pdf
English	english	Grade 6	grade-6	Mathematics Part II - New Syllabus	mathematics-part-ii-new-syllabus	Mathematics Part II	mathematics-part-ii	http://www.edupub.gov.lk/Administrator/English/6/maths%20G-6%20P-II%20E/maths%20G-6%20P-II%20E.pdf
English	english	Grade 6	grade-6	English Workbook - New Syllabus	english-workbook-new-syllabus	English Workbook	english-workbook	http://www.edupub.gov.lk/Administrator/English/6/english%20wb%20G-6/A94779_ENGLISH%20WORKBOOK%20-%20GRADE%2006.pdf
English	english	Grade 6	grade-6	Information and Communication Technology - Reading Book - 2018 New Syllabus	information-and-communication-technology-reading-book-2018-new-syllabus	Information and Communication Technology - Reading Book	information-and-communication-technology-reading-book	http://www.edupub.gov.lk/Administrator/English/6/ict%20G-6%20RB%20E/ICT%20G-6%20PB.pdf
English	english	Grade 6	grade-6	History	history	History	history	http://www.edupub.gov.lk/Administrator/English/6/history%20G-6%20E/History%20G6%20(E).pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	01 What you see	01-what-you-see	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%201%20-%20What%20You%20see%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	02 Friends Indeed	02-friends-indeed	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%202%20-%20Friends%20In%20Deed%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	03 Pleasure	03-pleasure	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%203%20-%20pleasure%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	04 A busy day	04-a-busy-day	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%204%20-%20A%20busy%20day%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	05 Once upon a time	05-once-upon-a-time	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%205%20-%20once%20upon%20a%20time%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	06 Better safe than sorry	06-better-safe-than-sorry	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%206%20-%20Better%20be%20safe%20than%20sorry%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	07 Around the country	07-around-the-country	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%207%20-%20Around%20the%20country%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	08 Wonders around us	08-wonders-around-us	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%208%20-%20Wonders%20Around%20Us%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	09 Our beautiful world	09-our-beautiful-world	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%209%20-%20our%20beautiful%20world%20-%20ok.pdf
English	english	Grade 7	grade-7	English Reading Book - 2016 New Syllabus	english-reading-book-2016-new-syllabus	10 future	10-future	http://www.edupub.gov.lk/Administrator/English/7/English%20Reading%20Book%20G7/Unit%2010%20-%20Future%20-%20ok.pdf
English	english	Grade 7	grade-7	English work book - 2016 New syllabus	english-work-book-2016-new-syllabus	English work book	english-work-book	http://www.edupub.gov.lk/Administrator/English/7/en%20wb%20g-7/en%20WB%20G-7.pdf
English	english	Grade 7	grade-7	Mathematics Part I – 2016 New Syllabus	mathematics-part-i-2016-new-syllabus	Mathematics Part I	mathematics-part-i	http://www.edupub.gov.lk/Administrator/English/7/maths%20G-7%20P-I%20E/maths%20G-7%20%20P-I%20E.pdf
English	english	Grade 7	grade-7	Mathematics Part II – 2016 New Syllabus	mathematics-part-ii-2016-new-syllabus	Mathematics Part II	mathematics-part-ii	http://www.edupub.gov.lk/Administrator/English/7/maths%20G-7%20P-II%20E/maths%20G-7%20P-II%20E.pdf
